,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,Phone,School Website,Median starting salary of alumni ,Selectivity,Fall 2020 acceptance rate,Application deadline,SAT/ACT scores must be received by,Student-faculty ratio,4-year graduation rate,Total enrollment,Collegiate athletic association,Tuition and fees,Room and board,Students who have cars on campus,Health insurance offered,Score (out of 100),Average 6-year graduation rate (17.6%),6-year graduation rate of students who received a Pell Grant (2.5%),6-year graduation rate of students who did not receive a Pell Grant (2.5%),Classes with fewer than 20 students,Classes with 50 or more students,Student-faculty ratio (1%),Admission interview,Required standardized tests,Early decision deadline,Application fee,Common Application accepted,Deadline for housing deposit,Acceptance rate,Early decision acceptance rate,Accepting applications,Minimum credits to apply,Minimum required college GPA,Has guaranteed admission agreement with at least one other institution,Guaranteed admission agreement URL,Separate application form required,Conditional admission offered,Early decision or early action options available,TOEFL (paper),TOEFL (internet-based),Michigan Test,IELTS,SAT,ACT,Advance deposit required,TOEFL accepted instead of SAT or ACT,International student contact,Degrees offered,Combined-degree programs,Online bachelor's degree program offered,General education/core curriculum required,Awarded Pell Grants (2019-2020),Enrolled students who are veterans or active service members,Students living on- and off-campus,Air Force ROTC,Army ROTC,Navy ROTC,Net price for federal loan recipients (2018-2019) ,Go to this school's net price calculator,Institution is G.I. Bill certified,Institution participates in Yellow Ribbon Program,Typical total federal loan debt after graduation ,Typical total federal loan debt among those who did not graduate ,Typical monthly loan payment ,Undergraduates paying down their federal loan debt ,Average total indebtedness of 2020 graduating class,"Graduating students who have borrowed (any loan type, 2020)",Campus size (acres),Alcohol permitted on campus for students of legal age,Career services offered,Basic student services offered,Campus safety and security services offered,Computers available for student use in,On-campus library,Museums or special academic buildings on campus,Services for LD students,Services for physically disabled students,Accessibility of campus to physically disabled students,SATs on 1600 scale,Undergraduate men who are members of a fraternity,Undergraduate women who are members of a sorority,By major,Ten most popular majors for 2020 graduates,In-state tuition and fees,Out-of-state tuition and fees,Class Sizes,Classes with fewer than 20 students ,Classes with 50 or more students ,Class sizes,,Student participation in special academic programs,Fall 2020 acceptance rate ,Student-faculty ratio ,Student Gender Distribution,Average 6-year graduation rate (17.6%) ,Student-faculty ratio (1%) ,Acceptance rate ,Full-time faculty gender distribution,Part-time faculty gender distribution,Degree-seeking student gender distribution,Types of campus housing available,Total graduate enrollment,Median starting salary of alumni
319,"Public, Coed",1865,None,Semester,City,(812) 237-3773,Website,"$47,500",Selective,92%,N/A,N/A,18:1,30%,"10,830(fall 2020)",NCAA I,,"$11,016(2020-21)",N/A,No,Bottom 25%,41%,32%,52%,43.6%,6%,18:1,Neither required/recommended,Neither SAT nor ACT,N/A,$25,No,N/A,92%,N/A,"Fall, Spring, Summer",No,2,No,N/A,Yes,No,Neither early decision nor early action,Required of some,Required of some,N/A,Required of some,N/A,N/A,No,Yes,Chris McGrew Director (812) 237-2440 isu-ips@mail.indstate.edu,"Certificate, Transfer, terminal-associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,Yes,Yes,41%,2.5%,,Offered on campus,Offered on campus,Not offered,"$13,896",Website,Yes,Yes,"$23,250","$7,799",$222,N/A,"$26,988",71%,435,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth service,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Hulman Center (basketball, concerts and events), Music Hall, 3 Art Galleries (University, Turman, and Bare-Montgomery), Hulman Memorial Student Union, Condit House (historical house and the president's residence), Civic Center, Observatory, Student Recreation Center, Learning Resource Center (Nursing Simulation Environment),  Community garden, 30 state of the art Technology laboratories (including aviation, unmanned systems, engineering, interior architecture design, fashion, etc.),",Note-taking servicesOral testsLearning centerReadersExtended time for testsTutorsProofreading servicesOther testing accommodations,Note-taking servicesTape recordersSpecial housingTutorsReader servicesTalking books,Mostly,,,,,,"$9,466(2020-21)","$20,570(2020-21)",,,,,,,,,,,,,,,,,,
320,"Public, Coed",1875,None,Semester,Rural,(724) 357-2100,Website,"$46,300",Less selective,93%,rolling,May 1,14:1,41%,"10,045(fall 2020)",NCAA II,,"$12,570(2021-22)",N/A,No,Bottom 25%,56%,43%,63%,37%,13%,14:1,Neither required/recommended,Neither SAT nor ACT,N/A,N/A,No,N/A,93%,N/A,"Fall, Spring",No,2,No,N/A,No,No,Neither early decision nor early action,Considered,Required,N/A,Considered,Considered,N/A,No,N/A,Dr. Michele Petrucci Asst. VP Intl Education & Global Engagement (724) 357-2295 michelep@iup.edu,"Certificate, Associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,No,Yes,38%,1.1%,,Not offered,Offered on campus,Not offered,"$22,448",Website,Yes,Yes,"$26,500","$9,500",$253,N/A,"$43,778",82%,374,No,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,day carehealth service,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"art museum, natural history museum, lodge, farm, co-generation plant, sailing base",Remedial mathReading machinesRemedial readingUntimed testsNote-taking servicesOral testsLearning centerReadersExtended time for testsPriority seatingTypist/scribeExams on tape or computerAND 7 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,"$13,144(2021-22)","$17,464(2021-22)",,,,,,,,,,,,,,,,,,
321,"Private, Coed",1962,None,Trimester,Urban,(787) 250-1912,Website,"$43,200",Less selective,,N/A,N/A,,N/A,"7,791(fall 2019)",N/A,"$7,584(2021-22)",N/A,N/A,No,Bottom 25%,,N/A,N/A,,,,N/A,Either SAT or ACT required for some,N/A,N/A,N/A,N/A,,N/A,"Fall, Winter, Spring, Summer",12,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Required of some,Required of some,N/A,N/A,Dr. Ramon Ayala International Relations Director (787) 250-1912 rayala@inter.edu,"Certificate, Associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - research/scholarship",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Offered at cooperating institution,N/A,"$11,810",Website,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,resume assistancecareer/job search classesinterest inventoryinterview training,placement servicehealth service,24-hour foot and vehicle patrols,N/A,Yes,N/A,Remedial mathRemedial EnglishRemedial readingNote-taking servicesOral testsReadersExtended time for testsTutorsPriority seatingOther testing accommodationsAND 5 MORE ,Note-taking servicesReader servicesBraille servicesInterpreters for hearing-impaired,Fully,N/A,N/A,N/A,N/A,N/A,,,N/A,56.5%,2%,N/A,,N/A,26%,N/A,N/A,34%,N/A,26%,N/A,N/A,N/A,N/A,,
322,"Public, Coed",1877,None,Semester,Urban,(601) 979-2121,Website,"$43,900",Less selective,90%,Sept. 19,Aug. 21,14:1,23%,"6,921(fall 2020)",NCAA I,,"$9,129(2020-21)",N/A,Yes,Bottom 25%,40%,39%,62%,N/A,N/A,14:1,Neither required/recommended,Either SAT or ACT,N/A,N/A,Yes,June 6,90%,N/A,"Fall, Spring, Summer",30,2,No,N/A,No,No,N/A,Required,Required,N/A,N/A,N/A,N/A,No,No,Dr. Tomaz Cunningham Interim Director of JSU Global (601) 979-1146 dianne.d.everett@jsums.edu,"Bachelor's, Master's, Post-master's certificate, Doctorate - research/scholarship",N/A,Yes,Yes,69%,N/A,N/A,Offered on campus,Offered on campus,Not offered,"$14,484",Website,Yes,No,"$30,488","$17,371",$291,N/A,"$27,020",84%,220,No,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrols24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Margaret Walker Center; Fannie Lou Hamer Institute @ COFO; The Art Gallery,Remedial mathRemedial EnglishOther special classesVideotaped classesDiagnostic testing serviceUntimed testsNote-taking servicesSpecial bookstore sectionOral testsLearning centerReadersExtended time for testsTutorsPriority seatingProofreading servicesTypist/scribeExams on tape or computerTake home examsOther testing accommodationsWaiver of foreign language degree requirementWaiver of math degree requirementAND 16 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesInterpreters for hearing-impairedTalking books,Fully,,N/A,N/A,,,"$8,445(2020-21)","$9,445(2020-21)",N/A,,,N/A,,,,,,,,,,,,,,
323,"Private, Coed",1977,None,Semester,Urban,(866) 749-4456,Website,"$44,900",Less selective,,N/A,N/A,,N/A,"19,567(fall 2019)",NAIA,"$34,968(2021-22)","$13,486(2021-22)",N/A,No,Bottom 25%,,N/A,N/A,,,,N/A,Neither SAT nor ACT,N/A,$55,No,N/A,,N/A,"Fall, Winter, Summer",No,N/A,N/A,N/A,Yes,N/A,N/A,Required,Required,N/A,Required,N/A,N/A,N/A,Yes,Ms. Terri Del Vecchio VC Enrollment (954) 776-4476 tdelvecchio@keiseruniversity.edu,"Associate, Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,Yes,Yes,59%,N/A,N/A,Not offered,Not offered,Not offered,"$33,428",Website,Yes,Yes,"$25,199","$9,500",$240,N/A,N/A,N/A,N/A,No,internshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,placement service,"24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"The Writing Studio at Keiser University enhances student learning by providing an instructional resource to students, faculty, staff, and alumni for developing academic and professional communication skills. This student-friendly, hands-on atmosphere provides Keiser University community members with the opportunity to discuss individual writing concerns with trained writing consultants.",Remedial EnglishReading machinesUntimed testsNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerWaiver of math degree requirementAND 10 MORE ,Note-taking servicesTape recordersTutorsReader services,Mostly,N/A,N/A,N/A,N/A,N/A,,,N/A,44.5%,30%,N/A,,,85%,N/A,N/A,57%,N/A,85%,N/A,N/A,N/A,N/A,,
324,"Public, Coed",1963,None,Semester,Suburban,(470) 578-6000,Website,"$51,500",Selective,83%,June 1,June 1,21:1,18%,"41,181(fall 2020)",NCAA I,,"$12,947(2021-22)",N/A,Yes,Bottom 25%,45%,42%,50%,25%,16%,21:1,Neither required/recommended,Either SAT or ACT,N/A,$40,No,N/A,83%,N/A,"Fall, Spring, Summer",30,2,N/A,N/A,No,Yes,Both early decision and early action,N/A,Required,N/A,Required,Required,Required,No,No,Kathryn Gaylord-Miles Director International Student and Scholar Services (470) 578-4514 kgaylor3@kennesaw.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - research/scholarship",N/A,Yes,Yes,34%,N/A,,Offered at cooperating institution,Offered at cooperating institution,Offered at cooperating institution,"$17,221",Website,Yes,Yes,"$24,000","$10,000",$229,N/A,"$26,295",60%,602,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerhealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Museum of History and Holocaust Education, Zuckerman Museum of Art, Bailey Performance Center,  3D Center,  Digital Fabrication Lab,  Media Resource Center, Materials Library, Center for Applied Gaming and Media Arts, Center for the Study of the Civil War Era, Innovation Lab, Teacher Resource and Activity Center, Center for Advanced Materials Research and Education, Exercise Science Biomarkers Laboratory, Exercise Science Physiology Laboratory, Digital Media Lab, GIS Lab, CSM Research Facilities",Reading machinesDiagnostic testing serviceNote-taking servicesOral testsReadersExtended time for testsTutorsPriority registrationPriority seatingTypist/scribeExams on tape or computerAND 6 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,,,N/A,N/A,"$7,548(2021-22)","$21,616(2021-22)",,,,,,,,,,,,,,,,,,
325,"Public, Coed",1923,None,Semester,Urban,(409) 880-7011,Website,"$53,900",Selective,84%,N/A,N/A,24:1,N/A,"16,604(fall 2020)",NCAA I,,"$9,590(2021-22)",N/A,Yes,Bottom 25%,32%,29%,44%,48.1%,8%,24:1,Neither required/recommended,Either SAT or ACT,N/A,$25,N/A,N/A,84%,N/A,"Fall, Spring, Summer",18,2,N/A,N/A,No,Yes,Neither early decision nor early action,Required,Required,N/A,Required,N/A,N/A,No,No,Dr. Mustapha Jourdini Director International Student Services (409) 880-7635 international@lamar.edu,"Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship",N/A,Yes,Yes,40%,N/A,,Offered at cooperating institution,Not offered,Not offered,"$12,311",Website,Yes,No,"$21,500","$8,435",$205,N/A,"$32,171",49%,292,No,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Spindletop-Gladys City Boomtown Museum, Lamar Language Institute",Remedial mathRemedial EnglishReading machinesRemedial readingUntimed testsNote-taking servicesOral testsReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingExams on tape or computerWaiver of math degree requirementAND 10 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesInterpreters for hearing-impaired,Fully,,N/A,N/A,N/A,N/A,"$10,586(2021-22)","$22,826(2021-22)",,,,,,N/A,,,,,,,,,,,,
326,Private,1971,Evangelical Christian,Semester,City,(434) 582-2000,Website,"$42,900",Selective,50%,N/A,N/A,17:1,37%,"93,349(fall 2020)",NCAA I,"$24,910(2021-22)","$11,200(2021-22)",N/A,No,Bottom 25%,54%,45%,65%,39.1%,4%,17:1,Neither required/recommended,Either SAT or ACT,N/A,$50,Yes,N/A,50%,N/A,"Fall, Winter, Spring, Summer",No,2,N/A,N/A,No,N/A,N/A,Considered,Required,N/A,Considered,Considered,Considered,No,Yes,Dr. William Wegert Dean - International Student Admission (434) 592-3025 international@liberty.edu,"Certificate, Diploma, Associate, terminal-associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,Yes,N/A,43%,18.2%,,Offered at cooperating institution,Offered on campus,Not offered,"$28,903",Website,Yes,Yes,"$25,583","$10,334",$244,N/A,"$20,734",55%,"7,000",No,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth service,"24-hour foot and vehicle patrolsLate night transport/escort serviceLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Creation Hall Museum; Jerry Falwell Museum; Liberty Biblical Museum; Liberty University Art Gallery; Montview (Carter-Glass) Mansion; National Civil War Chaplains Museum,Reading machinesOther special classesDiagnostic testing serviceNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingProofreading servicesSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 12 MORE ,Special housingTutorsInterpreters for hearing-impaired,Partly,,N/A,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
327,"Private, Coed",1827,None,Differs by program,Suburban,(636) 949-2000,Website,"$43,300",Selective,92%,rolling,Aug. 15,14:1,34%,"7,382(fall 2020)",NCAA II,"$18,640(2021-22)","$10,200(2021-22)",N/A,No,Bottom 25%,49%,33%,53%,48.6%,0%,14:1,Recommended,Neither SAT nor ACT,N/A,N/A,Yes,August 27,92%,N/A,"Fall, Winter, Spring, Summer",24,2,No,N/A,Yes,No,Neither early decision nor early action,Required,Required,N/A,Required,Required of some,Required of some,No,Yes,Amanda Schaller Director Admissions and Services for International Students (636) 627-4626 Internationaladmissions@lindenwood.edu,"Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - research/scholarship",University of Missouri - ColumbiaWashington UniversityUniversity of Missouri - St. Louis,Yes,Yes,32%,4.4%,,Offered at cooperating institution,Offered at cooperating institution,Not offered,"$17,491",Website,Yes,Yes,"$27,000","$12,040",$258,N/A,"$31,194",67%,285,No,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringhealth service,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Mary Ambler Archives,Note-taking servicesOral testsReadersExtended time for testsTutorsEarly syllabusPriority seatingTypist/scribeExams on tape or computerAND 4 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Partly,,,,,,,,,,,,,,,,,,,,,,,,,
328,"Private, Coed",1842,None,4-1-4,City,(540) 887-7019,Website,"$37,400",Selective,87%,rolling,Aug. 25,11:1,33%,"2,110(fall 2020)",NCAA III,"$31,085(2021-22)","$9,730(2021-22)",65%,No,Bottom 25%,43%,41%,44%,62.1%,1%,11:1,Recommended,Neither SAT nor ACT,N/A,N/A,Yes,N/A,87%,N/A,"Fall, Spring, Summer",12,2,Yes,Website,No,Yes,Both early decision and early action,Considered,Considered,N/A,Considered,Considered,Considered,No,Yes,Office of Admissions (540) 887-7019 admit@marybaldwin.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice",N/A,Yes,Yes,53%,1.3%,N/A,Offered at cooperating institution,Offered at cooperating institution,Offered at cooperating institution,"$16,982",Website,Yes,Yes,"$27,000","$10,425",$258,N/A,"$28,718",88%,58,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringhealth service,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Audiovisual center, TV studio, communications lab, electron microscope, gas chromatoscope, greenhouse.",Note-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority registrationPriority seatingExams on tape or computerAND 4 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Partly,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
329,Public,N/A,None,N/A,N/A,(651) 772-7779,Website,"$50,400",Less selective,,N/A,N/A,,N/A,"7,592(fall 2019)",N/A,,N/A,N/A,No,Bottom 25%,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45%,N/A,N/A,N/A,N/A,N/A,"$15,225",N/A,N/A,N/A,"$17,750","$11,000",$169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$8,249(2020-21)","$15,673(2020-21)",N/A,,,N/A,N/A,N/A,56%,N/A,N/A,33%,N/A,56%,N/A,N/A,N/A,N/A,,
330,"Private, Coed",1826,Southern Baptist,Semester,Suburban,(601) 925-3000,Website,"$44,900",More selective,29%,rolling,Aug. 15,15:1,52%,"4,667(fall 2020)",NCAA II,"$20,302(2021-22)","$11,400(2021-22)",35%,Yes,Bottom 25%,59%,49%,71%,62.8%,2%,15:1,Neither required/recommended,Either SAT or ACT,N/A,$25,No,July 1,29%,N/A,"Fall, Spring, Summer",12,2,No,N/A,Yes,Yes,Early decision only,Considered,Required,N/A,Required,Considered,Considered,Yes,Yes,Ms. Mei-Chi Piletz Executive Director of Global Education Center (601) 925-7635 mcpiletz@mc.edu,"terminal-associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",English Literature/LawEnglish Writing/LawGraphic Design with Marketing ConcentrationPolitical Science/LawAdministration of Justice/LawPublic Relations & MarketingSports Media & MarketingMass Media & MarketingBusiness Administration/LawHistory/LawAND 5 MORE ,Yes,Yes,31%,3.7%,,Offered on campus,Offered on campus,Not offered,"$17,186",Website,Yes,Yes,"$22,687","$7,500",$216,N/A,"$25,914",53%,140,No,on-campus job interviewsinternshipsresume assistanceinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Samuel Marshall Gore Art Gallery; second largest spectrometer (most advanced imaging nuclear magnetic resonance instrument of its type) in Mississippi used in teaching and research in the Chemistry Department; Science Building with Cadaver Lab,Remedial mathRemedial EnglishReading machinesVideotaped classesDiagnostic testing serviceNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingTypist/scribeExams on tape or computerOther testing accommodationsAND 12 MORE ,Note-taking servicesTape recordersSpecial housingTutorsReader services,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
331,"Public, Coed",1906,None,Semester,City,(417) 836-5000,Website,"$43,200",Selective,,N/A,July 20,,N/A,"23,453(fall 2019)",NCAA I,,"$9,284(2020-21)",N/A,Yes,Bottom 25%,,N/A,N/A,N/A,N/A,,Neither required/recommended,Either SAT or ACT,N/A,$35,No,May 1,,N/A,"Fall, Spring, Summer",24,2,No,N/A,Yes,No,Neither early decision nor early action,N/A,Required,N/A,Required,N/A,N/A,No,Yes,Patrick Parnell Director International Student Services (417) 836-6618 InternationalServices@MissouriState.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice",N/A,Yes,Yes,31%,N/A,N/A,Not offered,Offered on campus,Not offered,"$16,725",Website,Yes,Yes,"$22,522","$9,250",$215,N/A,N/A,N/A,225,No,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Jane A. Meyer Carillon Tower,Diagnostic testing serviceLearning centerReadersExtended time for testsTutorsPriority registrationPriority seatingExams on tape or computer,Note-taking servicesAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,N/A,N/A,N/A,N/A,N/A,"$7,938(2020-21)","$16,608(2020-21)",N/A,,,N/A,N/A,,88%,N/A,N/A,55%,N/A,88%,N/A,N/A,N/A,,,
332,"Public, Coed",1867,None,Semester,Urban,(443) 885-3333,Website,"$48,700",Less selective,73%,Feb. 15,Feb. 15,15:1,20%,"7,634(fall 2020)",NCAA I,,"$10,994(2021-22)",0%,Yes,Bottom 25%,42%,42%,53%,37.7%,3%,15:1,Neither required/recommended,Either SAT or ACT,N/A,$45,Yes,July 30,73%,N/A,"Fall, Spring",12,2,Yes,Website,No,No,Early action only,Required,Required,Considered,Considered,Considered,Considered,No,Yes,Dr. Yacob Astatke Assistant Vice president of International Affairs (443) 885-4031 yacob.astatke@morgan.edu,"Bachelor's, Post-bachelor's certificate, Master's, Doctorate - research/scholarship",3+2 years BS/MS  degree Program in Electrical Engineering3+2 Years BS or BA/ MA degree Program in Teaching3+2 years BS/MS  degree Program  in  Architecture3+2 years BS/MS  degree program in City and Regional Planning3+2 years BS/MS  degree Program  in Landscape Architecture3+2 years BS/M Eng degree Program in Electrical Engineering Program,Yes,Yes,51%,1.8%,,Not offered,Offered on campus,Not offered,"$17,619",Website,Yes,Yes,"$29,473","$11,000",$281,N/A,"$30,876",65%,175,No,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,James E. Lewis Museum of Art,Remedial mathRemedial EnglishReading machinesRemedial readingNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority seatingProofreading servicesTypist/scribeExams on tape or computerOther testing accommodationsAND 11 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,N/A,N/A,,,"$8,008(2021-22)","$18,480(2021-22)",,,,,,,,,,,,,,,,,,
333,"Private, Coed",N/A,None,Quarter,Urban,(888) 658-8632,Website,"$49,500",Least selective,97%,N/A,N/A,16:1,N/A,"7,404(fall 2020)",N/A,"$11,325(2021-22)",N/A,N/A,No,Bottom 25%,,N/A,N/A,63.3%,0%,16:1,Neither required/recommended,Neither SAT nor ACT,N/A,N/A,N/A,N/A,97%,N/A,"Fall, Winter, Spring, Summer",30,2,N/A,N/A,No,Yes,Both early decision and early action,Required,Required,N/A,Required,N/A,N/A,Yes,N/A,Maria Oriti Coordinator (312) 261-3485 moriti@nl.edu,"Certificate, Associate, Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,Yes,Yes,59%,0.6%,N/A,Not offered,Not offered,Not offered,"$14,957",Website,Yes,Yes,"$20,138","$9,296",$192,N/A,N/A,N/A,N/A,N/A,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,N/A,N/A,N/A,Yes,"Archives and Special Collections:  Personal books and papers of Elizabeth Harrison, Edna Dean Baker, and former University Presidents; Late 19th and early 20th century Froebel gifts, occupations, student work scrapbooks, and rare books on kindergarten education; Photographs of students, faculty, staff, facilities, and events; Historic and official NLU records and publications.",Videotaped classesUntimed testsNote-taking servicesSpecial bookstore sectionOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingProofreading servicesSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 12 MORE ,N/A,N/A,N/A,,,N/A,N/A,,,,,,,N/A,,,,,31%,,,,,,,,
